Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
No,agents,Laly Bar-Ilan,Chief Scientist,Bit,,,,Speaking the Same Language: How Components Let AI (Finally) Understand You,"This talk shows how composable components act as a shared language between devs, non-tech teams, and AI, enabling systems where AI builds features by understanding product intent, and keeping humans in the loop as systems scale and evolve.",https://www.linkedin.com/in/laly-bar-ilan/,,,,,Laly Bar-Ilan_ml.png,,"language,components,understand",
No,agents,Naman Goyal,Machine Learning Engineer,Google DeepMind,,,,Beyond Text Generation: The Rise of Agentic AI and Its Transformative Potential,"Discover how AI is evolving from passive text generators to autonomous agents capable of making decisions, interacting with environments, and pursuing goals. Learn the technical foundations reshaping industries today and how this revolution will transform human-AI collaboration forever.",https://www.linkedin.com/in/goyal-naman/,,,,,Naman Goyal_ml.png,,"generation,text,agentic",
No,agents,Samuel Baruffi,Principal Global Solutions Architect,AWS,,,,Beyond Chatbots: How Amazon Bedrock Agents Drive Enterprise AI,"Amazon Bedrock Agents aren’t just chatbots—they're fully managed AI orchestrators that can transform enterprise operations. By automating complex decision-making, securely accessing business data, and integrating with APIs, Bedrock Agents enable scalable and intelligent applications.",https://www.linkedin.com/in/samuelbaruffi/,SamuelBaruffi,,,,Samuel Baruffi_ml.png,,"chatbots,bedrock,enterprise",
No,agents,Alex Shershebnev,ML / DevOps Lead,Zencoder,,,,AI Coding Agents and how to code them,"AI Agents are the next big thing everyone is talking about. They are expected to revolutionize various industries by automating routine tasks, mission critical business workflows, enhancing productivity, and enabling humans to focus on creative and strategic work",https://www.linkedin.com/in/shershebnev/,,,,,Alex Shershebnev_ml.png,,"code,agents,coding",
No,ai,Lianne Potter,"Co-Founder, Podcast Host and Author",Compromising Positions,,,,"AI’s Hidden History: Unpacking Bias, Power, and the Builders Who Shaped It","Ever wondered how the early builders of AI shaped the tech we use today? Whether you're a developer or researcher, this talk offers valuable insights into how our past influences the future of AI—and how we can learn from it to avoid the same mistakes.",https://www.linkedin.com/in/liannep/,,,,,Lianne Potter_ml.png,,"bias,builders,history",
No,ai,Balakrishna Sudabathula,Expert Software Engineer - Technology,Delta Dental Ins.,,,,AI-Driven Transformation: Revolutionizing Operations with Intelligent Automation & Decision Support,"Unlock the future of enterprise operations with AI! Discover how intelligent automation, decision support, and cutting-edge technologies like MLOps and explainable AI are reshaping industries. Learn how to drive innovation, boost efficiency, and stay ahead with AI-driven solutions across sectors.",https://www.linkedin.com/in/balakrishna-sudabathula-1993962b/,,,,,Balakrishna Sudabathula_ml.png,,"automation,operations,decision",
No,ai,Ayodele Samuel Adebayo,Software Engineer,Hashnode,,,,AI-Powered Productivity: How Solo Entrepreneurs Can Achieve More with Less,"AI tools are revolutionizing how solo entrepreneurs manage their businesses. In this talk, I’ll showcase practical AI applications that enhance efficiency, from automating workflows to scaling content creation helping entrepreneurs maximize productivity with minimal resources.",https://www.linkedin.com/in/unclebigbay,unclebigbay143,,,,Ayodele Samuel Adebayo_ml.png,,"productivity,entrepreneurs,solo",
No,ai,Vignesh Kuppa Amarnath,Software Engineer,MSRcosmos,,,,Beyond Barriers: AI-Powered Cognitive Support Systems Reshaping Digital Accessibility,"Discover how AI is revolutionizing accessibility through adaptive voice, color, and screen technologies. See real implementations that slash support requests while boosting task completion for users with cognitive disabilities. The future of inclusive tech is here—where AI bridges gaps humans can't.",https://www.linkedin.com/in/vignesh-kuppa-amarnath-596848296/,,,,,Vignesh Kuppa Amarnath_ml.png,,"accessibility,support,cognitive",
No,ai,Hari Prasad Bomma,Senior Data Engineer,Risamsoft,,,,Artificial Intelligence for Store Assistance: Exploring the Integration of AI and ML in Retail Environments,"Discover how AI and machine learning are revolutionizing retail business, driving hyper-personalization, dynamic pricing, and operational efficiency. This paper explores AI& ML techniques to enhance inventory management, customer engagement ,behavior and personalized assistance in retail shopping.",https://www.linkedin.com/in/haribomma,,,,,Hari Prasad Bomma_ml.png,,"retail,intelligence,assistance",
No,ai,Chintan Udeshi,Principal Product Manager,Palo Alto Networks,,,,Beyond the Hype: Implementing Robust AI Security for Enterprise Innovation,"Unlock the secret to AI security mastery: learn how top companies slash security incidents by 47% while deploying AI 3.4x faster. Protect your innovation, outpace competitors, and build stakeholder trust—all with proven strategies you can implement tomorrow.",https://www.linkedin.com/in/chintanudeshi/,,,,,Chintan Udeshi_ml.png,,"security,enterprise,innovation",
